NAME,0.0,1.0S,10.0S,1.0MI,10.0MI,1.0HR,10.0HR,1.0D,10.0D,50.0D,100.0D,142.0D
RB-88,0.000e+00,1.789e-09,1.809e-08,1.216e-07,3.008e-06,4.544e-05,2.919e-04,3.187e-04,3.137e-04,2.944e-04,2.800e-04,2.744e-04
RB-89,0.000e+00,9.999e-09,1.322e-07,2.089e-06,8.355e-05,3.103e-04,3.586e-04,3.585e-04,3.531e-04,3.311e-04,3.146e-04,3.081e-04
RB-90,0.000e+00,4.044e-08,5.870e-07,7.528e-06,5.243e-05,6.039e-05,6.036e-05,6.034e-05,5.942e-05,5.568e-05,5.286e-05,5.172e-05
RB-90M,0.000e+00,2.473e-08,2.710e-07,2.151e-06,1.619e-05,2.115e-05,2.113e-05,2.113e-05,2.082e-05,1.960e-05,1.872e-05,1.841e-05
RB-91,0.000e+00,1.358e-07,1.809e-06,1.261e-05,2.704e-05,2.744e-05,2.743e-05,2.742e-05,2.700e-05,2.534e-05,2.410e-05,2.362e-05
RB-92,0.000e+00,1.914e-07,1.349e-06,1.811e-06,1.810e-06,1.810e-06,1.809e-06,1.808e-06,1.781e-06,1.672e-06,1.591e-06,1.562e-06
RB-93,0.000e+00,1.765e-07,1.205e-06,1.747e-06,1.757e-06,1.757e-06,1.756e-06,1.756e-06,1.729e-06,1.623e-06,1.544e-06,1.517e-06
RB-94,0.000e+00,9.161e-08,3.856e-07,4.173e-07,4.173e-07,4.173e-07,4.170e-07,4.169e-07,4.106e-07,3.854e-07,3.671e-07,3.610e-07
RB-95,0.000e+00,2.460e-08,2.896e-08,2.896e-08,2.896e-08,2.896e-08,2.894e-08,2.893e-08,2.849e-08,2.667e-08,2.534e-08,2.486e-08
RB-96,0.000e+00,3.685e-09,3.830e-09,3.830e-09,3.830e-09,3.830e-09,3.828e-09,3.827e-09,3.771e-09,3.542e-09,3.386e-09,3.348e-09
RB-97,0.000e+00,5.681e-10,5.779e-10,5.779e-10,5.779e-10,5.779e-10,5.776e-10,5.774e-10,5.689e-10,5.345e-10,5.113e-10,5.065e-10
RB-98,0.000e+00,7.314e-11,7.367e-11,7.367e-11,7.367e-11,7.367e-11,7.363e-11,7.362e-11,7.263e-11,6.870e-11,6.647e-11,6.674e-11
RB-99,0.000e+00,3.236e-12,3.236e-12,3.236e-12,3.236e-12,3.236e-12,3.234e-12,3.234e-12,3.194e-12,3.035e-12,2.963e-12,3.008e-12
SR-100,0.000e+00,1.206e-09,2.487e-09,2.490e-09,2.490e-09,2.490e-09,2.489e-09,2.488e-09,2.454e-09,2.319e-09,2.242e-09,2.250e-09
